name,stars
freeCodeCamp/freeCodeCamp,430709
codecrafters-io/build-your-own-x,429241
sindresorhus/awesome,409158
EbookFoundation/free-programming-books,374821
public-apis/public-apis,371966
kamranahmedse/developer-roadmap,341875
jwasham/coding-interview-university,331780
donnemartin/system-design-primer,323793
996icu/996.ICU,274679
vinta/awesome-python,266064
awesome-selfhosted/awesome-selfhosted,254461
practical-tutorials/project-based-learning,247681
facebook/react,240023
TheAlgorithms/Python,211940
vuejs/vue,209617
torvalds/linux,205605
ossu/computer-science,195907
trekhleb/javascript-algorithms,193634
tensorflow/tensorflow,192180
trimstray/the-book-of-secret-knowledge,190993
getify/You-Dont-Know-JS,183615
CyC2018/CS-Notes,182619
ohmyzsh/ohmyzsh,182242
Significant-Gravitas/AutoGPT,179226
microsoft/vscode,177854
jackfrued/Python-100-Days,173672
twbs/bootstrap,173587
flutter/flutter,173503
github/gitignore,170257
jlevy/the-art-of-command-line,158572
AUTOMATIC1111/stable-diffusion-webui,157508
avelino/awesome-go,155595
ollama/ollama,154670
massgravel/Microsoft-Activation-Scripts,153591
Snailclimb/JavaGuide,152278
huggingface/transformers,151555
n8n-io/n8n,151432
airbnb/javascript,147675
ytdl-org/youtube-dl,138509
f/awesome-chatgpt-prompts,135688
vercel/next.js,135244
langflow-ai/langflow,133999
yt-dlp/yt-dlp,132118
521xueweihan/HelloGitHub,131976
yangshun/tech-interview-handbook,131354
golang/go,130502
Genymobile/scrcpy,130133
labuladong/fucking-algorithm,129634
Chalarangelo/30-seconds-of-code,125611
microsoft/PowerToys,125134
facebook/react-native,124291
electron/electron,118808
kubernetes/kubernetes,118189
krahets/hello-algo,118031
langchain-ai/langchain,117967
langgenius/dify,117211
justjavac/free-programming-books-zh_CN,115521
ripienaar/free-for-dev,114013
nodejs/node,113933
open-webui/open-webui,113291
d3/d3,111672
DigitalPlatDev/FreeDomain,109830
excalidraw/excalidraw,109118
mrdoob/three.js,109103
axios/axios,107995
rust-lang/rust,107406
microsoft/TypeScript,106502
denoland/deno,104881
goldbergyoni/nodebestpractices,104428
facebook/create-react-app,103809
GrowingGit/GitHub-Chinese-Top-Charts,103307
godotengine/godot,102535
rustdesk/rustdesk,101343
microsoft/generative-ai-for-beginners,100842
microsoft/terminal,100715
fatedier/frp,99932
deepseek-ai/DeepSeek-V3,99922
Hack-with-Github/Awesome-Hacking,99559
papers-we-love/papers-we-love,99525
angular/angular,99150
shadcn-ui/ui,98329
tauri-apps/tauri,98130
iptv-org/iptv,97978
mui/material-ui,96856
ant-design/ant-design,96443
Anduin2017/HowToCook,95334
nvbn/thefuck,94457
pytorch/pytorch,94217
ryanmcdermott/clean-code-javascript,93952
mtdvio/every-programmer-should-know,93759
neovim/neovim,93685
iluwatar/java-design-patterns,93187
